Ref,Status,Location,Description,Created,Target,Type,To Package,Status Changed,Association,OverDue,Images,Comments,Documents,Priority,Cause,project,Report Status,Task Group
T1.23963030,Open,JPC Project Management>EHS Management>01 Inspections,"task raised in incorrect location of this form. see field ""Have the EHS task(s), raised from the previous day(s) been actioned and closed?""",14/09/2020,,Safety Notice (Amber) - General Issue,Main Contractor,14/09/2020,FormAnswer,FALSE,,,,Behavioural Failure,JPC - Safety - Documentation,1328,Open,Safety
T116412.200,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 1>Block 1 - Bracken Lane Elevation,Metsec,14/09/2020,,JPC - Progress Photo,Ceilings & Partitions,14/09/2020,,FALSE,TRUE,FALSE,FALSE,,,1328,Closed,Site Management
T141663.27,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,Good clear exclusion zones and access through site,14/09/2020,,Safety Notice (Green) - Good Observation,Main Contractor,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Closed,Safety
T116412.199,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 2>5th Floor Plan,RC walls,14/09/2020,,JPC - Progress Photo,Precast Concrete,14/09/2020,,FALSE,TRUE,FALSE,FALSE,,,1328,Closed,Site Management
T141663.26,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,"block 02 working level has good housekeeping, clear access, and good edge protection",14/09/2020,,Safety Notice (Green) - Good Observation,Precast Concrete,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - House Keeping,1328,Closed,Safety
T116412.198,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Roof GA,A3 Roofing,14/09/2020,,JPC - Progress Photo,Roofing,14/09/2020,,FALSE,TRUE,FALSE,FALSE,,,1328,Closed,Site Management
T141663.25,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,operaiver using hand sanitizer points onsite. Good practice,14/09/2020,,Safety Notice (Green) - Good Observation,Ceilings & Partitions,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Welfare Facilities,1328,Closed,Safety
T116412.197,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation),Tyvec install,14/09/2020,,JPC - Progress Photo,Cladding & Roofing,14/09/2020,,FALSE,TRUE,FALSE,FALSE,,,1328,Closed,Site Management
T141663.24,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,number of operative fully pee compliant,14/09/2020,,Safety Notice (Green) - Good Observation,Main Contractor,14/09/2020,FormAnswer,FALSE,FALSE,FALSE,FALSE,,JPC - Safety - PPE,1328,Closed,Safety
T141663.23,Open,JPC Project Management>EHS Management>01 Inspections,doors to pods removed. to be reviewed to ensure protection of finishes,14/09/2020,,Safety Notice (Amber) - General Issue,Main Contractor,14/09/2020,FormAnswer,FALSE,TRUE,FALSE,FALSE,,JPC - Safety - Access,1328,Open,Safety
